Date,Open ,High,Low,Close,Adj Close,Volume,Datetimes
"Jun 21, 2022",177.6,178.62,169.8,170.91,170.91,"12,177,600",2022-06-21
"Jun 22, 2022",170.75,182.82,170.2,178.89,178.89,"11,992,400",2022-06-22
"Jun 23, 2022",180.5,182.76,175.87,181.71,181.71,"9,538,200",2022-06-23
"Jun 24, 2022",183.5,191.19,181.84,190.85,190.85,"12,424,000",2022-06-24
"Jun 27, 2022",191.77,191.78,182.39,189.14,189.14,"8,363,900",2022-06-27
"Jun 28, 2022",189.2,192.2,179.37,179.6,179.6,"7,185,400",2022-06-28
"Jun 29, 2022",179.55,180.67,175.1,178.36,178.36,"5,766,800",2022-06-29
"Jun 30, 2022",177.07,179.45,170.3,174.87,174.87,"7,894,700",2022-06-30
"Jul 1, 2022",176.49,180.1,174.27,179.95,179.95,"5,201,600",2022-07-01
"Jul 5, 2022",176.28,185.92,172.68,185.88,185.88,"7,334,300",2022-07-05
"Jul 6, 2022",185.2,186.22,180.82,184.06,184.06,"5,753,400",2022-07-06
"Jul 7, 2022",184.27,190.21,183.5,189.27,189.27,"6,334,500",2022-07-07
"Jul 8, 2022",186.02,189.91,182.75,186.98,186.98,"5,835,700",2022-07-08
"Jul 11, 2022",184.73,184.99,176.89,177.34,177.34,"6,038,800",2022-07-11
"Jul 12, 2022",177.33,179.78,173.42,174.45,174.45,"6,845,300",2022-07-12
"Jul 13, 2022",170.5,179.18,169.7,176.56,176.56,"12,734,400",2022-07-13
"Jul 14, 2022",175.56,177.52,171.82,174.78,174.78,"9,039,500",2022-07-14
"Jul 15, 2022",175.58,189.22,174.56,189.11,189.11,"16,319,100",2022-07-15
"Jul 18, 2022",192.5,199.67,189.8,190.92,190.92,"16,322,800",2022-07-18
"Jul 19, 2022",193.02,201.97,188.4,201.63,201.63,"28,178,700",2022-07-19
"Jul 20, 2022",208.17,216.97,200.1,216.44,216.44,"53,920,300",2022-07-20
"Jul 21, 2022",214.3,224.32,211.5,223.88,223.88,"23,430,100",2022-07-21
"Jul 22, 2022",222.38,229.35,218.44,220.44,220.44,"17,805,500",2022-07-22
"Jul 25, 2022",221.31,225.23,216.35,218.51,218.51,"10,935,200",2022-07-25
"Jul 26, 2022",216.66,219.39,211.64,213.91,213.91,"9,508,500",2022-07-26
"Jul 27, 2022",216.48,227.78,214.58,226.75,226.75,"10,508,400",2022-07-27
"Jul 28, 2022",224.6,228.1,219.67,226.02,226.02,"8,972,700",2022-07-28
"Jul 29, 2022",223.29,230.75,222.4,224.9,224.9,"9,064,900",2022-07-29
"Aug 1, 2022",223.1,228.39,221,226.21,226.21,"5,525,000",2022-08-01
"Aug 2, 2022",222.76,228.2,220.88,221.42,221.42,"6,361,300",2022-08-02
"Aug 3, 2022",224.79,228.1,222.42,226.73,226.73,"6,400,700",2022-08-03
"Aug 4, 2022",227.68,232.07,225.05,229.91,229.91,"7,142,700",2022-08-04
"Aug 5, 2022",225.3,228.62,222.87,226.78,226.78,"5,539,700",2022-08-05
"Aug 8, 2022",227.49,241.96,226.41,233.49,233.49,"10,982,100",2022-08-08
"Aug 9, 2022",231.62,232.2,224.65,229.94,229.94,"6,181,200",2022-08-09
"Aug 10, 2022",236.99,244.54,236.6,244.11,244.11,"9,254,800",2022-08-10
"Aug 11, 2022",244.68,251.62,241.51,242.7,242.7,"8,780,100",2022-08-11
"Aug 12, 2022",244.81,249.41,243.76,249.3,249.3,"6,098,500",2022-08-12
"Aug 15, 2022",248.11,251.99,247.51,249.11,249.11,"6,527,400",2022-08-15
"Aug 16, 2022",247.16,249.29,244.03,245.69,245.69,"5,136,800",2022-08-16
"Aug 17, 2022",241.18,244.24,237.56,241.15,241.15,"5,627,200",2022-08-17
"Aug 18, 2022",241.96,246.48,239.28,245.17,245.17,"5,280,400",2022-08-18
"Aug 19, 2022",240.95,243.29,235.68,241.16,241.16,"7,504,700",2022-08-19
"Aug 22, 2022",232.55,233.48,224.59,226.54,226.54,"8,630,100",2022-08-22
"Aug 23, 2022",226.46,229.9,224.3,224.55,224.55,"5,276,900",2022-08-23
"Aug 24, 2022",225.66,234.1,223.94,229.61,229.61,"5,426,300",2022-08-24
"Aug 25, 2022",230.24,234.16,229,233.98,233.98,"3,766,900",2022-08-25
"Aug 26, 2022",233.63,236.95,223.15,223.28,223.28,"5,349,800",2022-08-26
"Aug 29, 2022",221.93,229.87,221.52,224.57,224.57,"7,109,400",2022-08-29
"Aug 30, 2022",226.66,229.79,218.74,220.65,220.65,"5,740,400",2022-08-30
"Aug 31, 2022",227,233.88,223.43,223.56,223.56,"8,615,900",2022-08-31
"Sep 1, 2022",220.72,230.37,219.47,230.04,230.04,"7,292,900",2022-09-01
"Sep 2, 2022",231.03,233.88,225.04,226.11,226.11,"8,164,900",2022-09-02
"Sep 6, 2022",225.59,226.85,214.69,218.39,218.39,"7,469,000",2022-09-06
"Sep 7, 2022",220.21,229.33,218.27,228.96,228.96,"8,149,300",2022-09-07
"Sep 8, 2022",224.16,228.74,221.3,227.44,227.44,"6,737,400",2022-09-08
"Sep 9, 2022",229.62,234.78,229.62,233.57,233.57,"6,699,600",2022-09-09
"Sep 12, 2022",233.61,239.49,233.37,236.53,236.53,"6,047,400",2022-09-12
"Sep 13, 2022",226.5,227.69,217.72,218.13,218.13,"8,000,100",2022-09-13
"Sep 14, 2022",219.82,228,215.8,224.12,224.12,"8,230,300",2022-09-14
"Sep 15, 2022",230.47,242.29,229.1,235.38,235.38,"19,454,100",2022-09-15
"Sep 16, 2022",231.22,241.36,227.83,240.13,240.13,"18,914,200",2022-09-16
"Sep 19, 2022",245.05,245.25,235.75,243.63,243.63,"17,912,400",2022-09-19
"Sep 20, 2022",240.37,250.49,239.66,242.85,242.85,"16,037,400",2022-09-20
"Sep 21, 2022",242.67,248.3,236.68,236.87,236.87,"9,166,800",2022-09-21
"Sep 22, 2022",235.35,240.5,231.66,237.05,237.05,"10,018,000",2022-09-22
"Sep 23, 2022",235.14,236.45,221.43,226.41,226.41,"11,207,200",2022-09-23
"Sep 26, 2022",225.6,232.7,223.01,224.07,224.07,"8,234,300",2022-09-26
"Sep 27, 2022",228.63,230.64,220.72,224.36,224.36,"7,762,200",2022-09-27
"Sep 28, 2022",229.69,246.65,227.38,245.2,245.2,"17,579,700",2022-09-28
"Sep 29, 2022",241.61,246.98,235.68,239.71,239.71,"18,994,900",2022-09-29
"Sep 30, 2022",237,242.44,233.26,235.44,235.44,"11,848,600",2022-09-30
"Oct 3, 2022",237.85,241.54,232.85,239.04,239.04,"8,657,400",2022-10-03
"Oct 4, 2022",244.84,245.8,233.25,240.74,240.74,"13,925,900",2022-10-04
"Oct 5, 2022",238.76,241.59,227.38,236.73,236.73,"10,825,600",2022-10-05
"Oct 6, 2022",236.68,244.28,233.91,240.02,240.02,"9,188,900",2022-10-06
"Oct 7, 2022",235.77,237.33,224.28,224.75,224.75,"9,806,100",2022-10-07
"Oct 10, 2022",225.64,233.83,224.23,229.98,229.98,"9,991,100",2022-10-10
"Oct 11, 2022",226.05,230.44,213.7,214.29,214.29,"15,282,400",2022-10-11
"Oct 12, 2022",214.3,223.67,212.64,220.87,220.87,"12,952,600",2022-10-12
"Oct 13, 2022",212.69,234.47,211.73,232.51,232.51,"17,505,000",2022-10-13
"Oct 14, 2022",237.8,238.8,229.51,230,230,"15,293,400",2022-10-14
"Oct 17, 2022",234.41,249.92,234.4,245.1,245.1,"21,057,800",2022-10-17
"Oct 18, 2022",249.8,250.37,237.73,240.86,240.86,"25,776,700",2022-10-18
"Oct 19, 2022",265,279.3,262.66,272.38,272.38,"46,685,300",2022-10-19
"Oct 20, 2022",272.78,278.38,266.38,268.16,268.16,"17,207,100",2022-10-20
"Oct 21, 2022",268.95,290.75,265.68,289.57,289.57,"24,889,100",2022-10-21
"Oct 24, 2022",290.23,290.49,280.36,282.45,282.45,"13,326,400",2022-10-24
"Oct 25, 2022",286.95,297.59,285.55,291.02,291.02,"15,100,700",2022-10-25
"Oct 26, 2022",290.04,305.63,288.04,298.62,298.62,"15,714,100",2022-10-26
"Oct 27, 2022",298.33,305.21,294.78,296.94,296.94,"14,612,600",2022-10-27
"Oct 28, 2022",297.7,301.19,292.29,295.72,295.72,"9,960,500",2022-10-28
"Oct 31, 2022",295.13,297.62,289.5,291.88,291.88,"7,505,100",2022-10-31
"Nov 1, 2022",296.17,299.7,286.42,286.75,286.75,"6,916,400",2022-11-01
"Nov 2, 2022",286.4,287.33,272.84,273,273,"10,367,600",2022-11-02
"Nov 3, 2022",271.25,276.29,268.8,269.06,269.06,"7,057,400",2022-11-03
"Nov 4, 2022",272.02,274.97,255.32,260.79,260.79,"11,124,700",2022-11-04
"Nov 7, 2022",261.06,261.15,252.09,258.6,258.6,"7,927,000",2022-11-07
"Nov 8, 2022",259.92,266.08,256.88,263.46,263.46,"7,683,800",2022-11-08
"Nov 9, 2022",259.66,260.9,254.22,254.66,254.66,"7,266,000",2022-11-09
"Nov 10, 2022",265.99,275.36,260.09,274.97,274.97,"9,667,300",2022-11-10
"Nov 11, 2022",274.47,290.66,271.56,290.13,290.13,"9,573,800",2022-11-11
"Nov 14, 2022",290,311,288.19,299.27,299.27,"17,978,200",2022-11-14
"Nov 15, 2022",309.2,312.71,302.55,310.2,310.2,"14,626,900",2022-11-15
"Nov 16, 2022",309.94,310.49,303.61,306.02,306.02,"8,038,600",2022-11-16
"Nov 17, 2022",294.72,299.82,291,295.28,295.28,"9,838,200",2022-11-17
"Nov 18, 2022",297.33,298,287,287.98,287.98,"8,400,100",2022-11-18
"Nov 21, 2022",291,291.87,282.66,285.05,285.05,"7,256,500",2022-11-21
